260346828765750, 357833641339849, 229809969824403 @ 64, -114, 106
340220726383465, 393110064924024, 226146987100003 @ -79, -61, 158
11361697274707, 101596061919750, 46099495948720 @ 328, 162, 333
360204609690721, 527678808395772, 271703202326380 @ -132, -458, 20
228800225183261, 405333190838676, 284309641117406 @ 29, -233, 35
347686754070960, 372761595433127, 227908656106580 @ -134, 452, 245
420404387574505, 320613771806244, 282039825133426 @ -209, -99, 24
239697674964055, 219683531868878, 291640535034286 @ 36, 12, 18
270083622615715, 298192739573649, 450720525831403 @ 71, 50, -394
210388952361528, 202933503071430, 369359171934512 @ 62, 13, -71
323626194439723, 331061672127276, 297678575959794 @ -45, 7, -61
304808549150934, 383205509992906, 523319353604760 @ -22, -163, -463
187934586489225, 219381841648824, 260929087075428 @ 73, -29, 61
334112509601119, 400144558186712, 244055841518098 @ 18, 155, 66
246253930315613, 304696957680568, 94020244355048 @ 53, -63, 311
342955905222035, 388277972401036, 257476145906070 @ -94, -111, 34
327736098163477, 330547943777790, 153376586381074 @ -71, -90, 230
261048582174545, 197767231455944, 278362708671168 @ -10, -13, 43
262232829717925, 400052820669654, 363505406595748 @ 25, -212, -101
324188029882468, 362855685632781, 234741485808022 @ 110, 502, 163
205507378373754, 312370561869725, 214016656029865 @ 148, -46, 132
239592601431541, 142078397267946, 285236791773286 @ 17, 58, 34
144373393337221, 188196109756908, 173981678832424 @ 99, -22, 149
288873332238259, 312782225890490, 274590086150334 @ 18, -6, 14
186182198786950, 402152186162636, 135534511498564 @ 96, -225, 213
231239063521245, 186020667465684, 343869538475528 @ 13, -20, -19
250272260456639, 161173847651144, 288550442540870 @ 10, 51, 28
296318163416530, 282047552083869, 393397156658776 @ 116, 426, -591
324596493713872, 398326967096844, 254282763206956 @ 32, -9, 5
215625978065245, 203168177356104, 420679288194328 @ 35, -25, -104
191086370171245, 60115319750904, 146260480280128 @ 243, 573, 296
322860700705485, 459545877374104, 448537560287088 @ -59, -309, -299
314822321873915, 398359415059524, 264470104210778 @ 140, 49, -94
269210714892168, 256327147227716, 398338379562592 @ 52, 95, -231
302666483817653, 275410751736752, 326439099654152 @ -40, -40, -37
270142822739620, 344779311267669, 324492644181298 @ 52, -80, -85
374865332232522, 402789242720040, 323870419231066 @ -182, -173, -141
243208589268314, 367086212824621, 199057002427101 @ 140, -102, 184
250464382830742, 135024447362895, 320243825003503 @ -8, 24, 6
355922778067984, 378321615748686, 241250226323332 @ -130, -107, 85
316218511102785, 354948779738048, 394814158202160 @ 86, 273, -913
